date,close,return,naive_pred,lstm_pred,direction_true,direction_lstm,signal,strategy_return,bh_return,cum_strategy,cum_bh
,V,,,,,,,,,,
2015-02-23,63.305179595947266,3.663872261028267e-05,0.014492270750214864,0.0015663227075192853,1.0,1.0,1.0,-0.0019778762045818965,3.663872261028267e-05,0.9496876833094757,1.0320211848546104
2015-02-24,63.179969787597656,-0.0019778762045818965,3.663872261028267e-05,0.0025186918358592212,-1.0,1.0,1.0,0.0019817959516370554,-0.0019778762045818965,0.951569770515578,1.029979974710462
2015-02-25,63.305179595947266,0.0019817959516370554,-0.0019778762045818965,0.0012032902292838487,1.0,1.0,1.0,0.0027111661394920716,0.0019817959516370554,0.9541496342567641,1.0320211848546106
2015-02-26,63.476810455322266,0.0027111661394920716,0.0019817959516370554,0.0028918090943830686,1.0,1.0,1.0,-0.008913787295902975,0.0027111661394920716,0.9456445473685358,1.034819165746227
2015-02-27,62.91099166870117,-0.008913787295902975,0.0027111661394920716,0.0034487990718744753,-1.0,1.0,1.0,0.025726759318710934,-0.008913787295902975,0.9699729170397374,1.0255950078130414
2015-03-02,64.52948760986328,0.025726759318710934,-0.008913787295902975,-0.0012324125373490923,1.0,-1.0,0.0,-0.0,0.025726759318710934,0.9699729170397374,1.051980243737519
2015-03-03,63.836185455322266,-0.010743958773276274,0.025726759318710934,0.003905611581871038,-1.0,1.0,1.0,-0.005629644024571556,-0.010743958773276274,0.9645123148033284,1.040677811368502
2015-03-04,63.476810455322266,-0.005629644024571556,-0.010743958773276274,0.0021523950681321623,-1.0,1.0,1.0,0.0013877950596947741,-0.005629644024571556,0.9658508602288273,1.0348191657462271
2015-03-05,63.564903259277344,0.0013877950596947741,-0.005629644024571556,0.0006301070728904401,1.0,1.0,1.0,-0.017473638550387638,0.0013877950596947741,0.9489739314036078,1.0362552826721272
2015-03-06,62.454193115234375,-0.017473638550387638,0.0013877950596947741,0.0003654328569309806,-1.0,1.0,1.0,0.00772282322151141,-0.017473638550387638,0.9563026893176605,1.0181481324167847
2015-03-09,62.93651580810547,0.00772282322151141,-0.017473638550387638,-0.001346537393965952,1.0,-1.0,0.0,-0.0,0.00772282322151141,0.9563026893176605,1.0260111104567515
2015-03-10,61.49421310424805,-0.022916786627576125,0.00772282322151141,-0.004947324613405857,-1.0,-1.0,0.0,-0.0,-0.022916786627576125,0.9563026893176605,1.0024982327608918
2015-03-11,61.38987350463867,-0.0016967385115164157,-0.022916786627576125,-0.007381890184265827,-1.0,-1.0,0.0,0.0,-0.0016967385115164157,0.9563026893176605,1.0007972554016393
2015-03-12,62.50983810424805,0.01824347462655629,-0.0016967385115164157,-0.006595309081654799,1.0,-1.0,0.0,-0.0,0.01824347462655629,0.9563026893176605,1.0190552747368864
2015-03-13,61.45480728149414,-0.01687783642943408,0.01824347462655629,-0.003224173168282496,-1.0,-1.0,0.0,0.0,-0.01687783642943408,0.9563026893176605,1.0018558264973252
2015-03-16,62.379981994628906,0.015054553973247398,-0.01687783642943408,-0.003105012744091784,1.0,-1.0,0.0,-0.0,0.015054553973247398,0.9563026893176605,1.0169383191107415
2015-03-17,61.3318977355957,-0.016801612080033057,0.015054553973247398,-0.0016386665937445865,-1.0,-1.0,0.0,0.0,-0.016801612080033057,0.9563026893176605,0.9998521159637219
2015-03-18,62.06697463989258,0.011985230058685348,-0.016801612080033057,-0.0004156316842359731,1.0,-1.0,0.0,-0.0,0.011985230058685348,0.9563026893176605,1.0118355735982105
2015-03-19,61.96723937988281,-0.0016068973973425438,0.011985230058685348,0.0023207620298043795,-1.0,1.0,1.0,0.008980974296277866,-0.0016068973973425438,0.9648912191898839,1.010209657648457
2015-03-20,62.523765563964844,0.008980974296277866,-0.0016068973973425438,-0.001649312374975387,1.0,-1.0,0.0,-0.0,0.008980974296277866,0.9648912191898839,1.0192823246176494
