date,close,return,naive_pred,lstm_pred,direction_true,direction_lstm,signal,strategy_return,bh_return,cum_strategy,cum_bh
,VZ,,,,,,,,,,
2015-01-27,26.53830909729004,-0.01299007805723218,-0.004029639665360851,-0.004308414125830962,-1.0,-1.0,0.0,-0.0,-0.01299007805723218,1.0084841919201764,0.9986866221433155
2015-01-28,26.36652946472168,-0.0064728929013001535,-0.01299007805723218,-0.007698292863990019,-1.0,-1.0,0.0,0.0,-0.0064728929013001535,1.0084841919201764,0.9922222305962206
2015-01-29,26.400896072387695,0.0013034179455433392,-0.0064728929013001535,-0.009283418474294813,1.0,-1.0,0.0,-0.0,0.0013034179455433392,1.0084841919201764,0.9935155108575467
2015-01-30,26.17186164855957,-0.008675251900546965,0.0013034179455433392,-0.007157444774130384,-1.0,-1.0,0.0,0.0,-0.008675251900546965,1.0084841919201764,0.984896513533757
2015-02-02,26.899024963378906,0.027784164710321857,-0.008675251900546965,-0.006172888915779362,1.0,-1.0,0.0,0.0,0.027784164710321857,1.0084841919201764,1.0122610404884007
2015-02-03,27.38570213317871,0.01809274389917026,0.027784164710321857,0.0001898719593571796,1.0,1.0,1.0,-0.0006272463529900518,0.01809274389917026,1.0078516238887463,1.030575620253065
2015-02-04,27.3685245513916,-0.0006272463529900518,0.01809274389917026,0.006406436350637668,-1.0,1.0,1.0,0.0012552800758296456,-0.0006272463529900518,1.0091167599516064,1.0299291954537808
2015-02-05,27.40287971496582,0.0012552800758296456,-0.0006272463529900518,0.007575565660299688,1.0,1.0,1.0,0.030714412840926242,0.0012552800758296456,1.040111188721458,1.0312220450523493
2015-02-06,28.244543075561523,0.030714412840926242,0.0012552800758296456,0.007565938086356949,1.0,1.0,1.0,-0.0048653877646113175,0.030714412840926242,1.0350506444700174,1.0628954246747513
2015-02-09,28.10712242126465,-0.0048653877646113175,0.030714412840926242,0.01544387103465159,-1.0,1.0,1.0,0.008556057123712879,-0.0048653877646113175,1.0439065969100387,1.0577240262804775
2015-02-10,28.34760856628418,0.008556057123712879,-0.0048653877646113175,0.008913960539664955,1.0,1.0,1.0,0.0060592864730122376,0.008556057123712879,1.050231926031784,1.0667739734704569
2015-02-11,28.51937484741211,0.0060592864730122376,0.008556057123712879,0.00700662318457348,1.0,1.0,1.0,-0.005821821108445313,0.0060592864730122376,1.044117663636049,1.073237862577668
2015-02-12,28.35334014892578,-0.005821821108445313,0.0060592864730122376,0.008343929749773937,-1.0,1.0,1.0,-0.004240945836603838,-0.005821821108445313,1.0396896171775272,1.0669896637349305
2015-02-13,28.233095169067383,-0.004240945836603838,-0.005821821108445313,0.006928509512918945,-1.0,1.0,1.0,-0.0026365545345636843,-0.004240945836603838,1.036948418802819,1.0624646183628146
2015-02-17,28.15865707397461,-0.0026365545345636843,-0.004240945836603838,-6.256222258707033e-05,-1.0,-1.0,0.0,-0.0,-0.0026365545345636843,1.036948418802819,1.0596633724554567
2015-02-18,28.021251678466797,-0.004879685673462308,-0.0026365545345636843,0.00038320442342245633,-1.0,1.0,1.0,-0.0006129517209139124,-0.004879685673462308,1.0363128194850149,1.054492548278193
2015-02-19,28.00407600402832,-0.0006129517209139124,-0.004879685673462308,-0.002303944136012581,-1.0,-1.0,0.0,0.0,-0.0006129517209139124,1.0363128194850149,1.053846195256035
2015-02-20,28.038427352905273,0.0012266553223185817,-0.0006129517209139124,-0.0036383917747978113,1.0,-1.0,0.0,-0.0,0.0012266553223185817,1.0363128194850149,1.055138901300351
2015-02-23,27.923906326293945,-0.0040844311690492185,0.0012266553223185817,-0.002228696488645032,-1.0,-1.0,0.0,0.0,-0.0040844311690492185,1.0363128194850149,1.0508292590842034
2015-02-24,28.181564331054688,0.009227147582790973,-0.0040844311690492185,-0.0021973935551341086,1.0,-1.0,0.0,-0.0,0.009227147582790973,1.0363128194850149,1.0605254157420883
