Date,AAPL,MSFT,NVDA,AMZN,META,GOOGL,GOOG,TSLA,ADBE,AMD,CRM,NFLX,AVGO,COST,WMT,MCD,DIS,HD,KO,PEP,JPM,GS,SCHW,V,MA,UNH,ABBV,TMO,PFE,JNJ,XOM,CVX,CAT,BA,VZ,T,TM,MC.PA,^GSPC,^NDX,^DJI,SPY,QQQ,DIA
2010-01-04,6.418383598327637,23.130050659179688,0.4238303303718567,6.695000171661377,,15.576996803283691,15.504140853881836,,37.09000015258789,9.699999809265137,18.51028823852539,0.7639999985694885,1.3311048746109009,42.16190719604492,12.986787796020508,40.55772018432617,27.475879669189453,19.698379516601562,17.43540382385254,38.33393096923828,28.552139282226562,130.6415557861328,16.1395320892334,19.64565658569336,23.61797523498535,24.76282501220703,,45.01723098754883,9.354952812194824,40.4184455871582,37.88178634643555,41.66912078857422,39.29057312011719,43.777557373046875,13.751177787780762,6.82269287109375,57.0911750793457,57.9893684387207,1132.989990234375,1886.699951171875,10583.9599609375,85.27922821044922,40.393585205078125,75.13217163085938
2010-01-05,6.4294819831848145,23.137521743774414,0.43001940846443176,6.734499931335449,,15.508401870727539,15.435864448547363,,37.70000076293945,9.710000038146973,18.431119918823242,0.7358570098876953,1.3409854173660278,42.03415298461914,12.857470512390137,40.24760818481445,27.407337188720703,19.842670440673828,17.2244873046875,38.797149658203125,29.105205535888672,132.95120239257812,16.090574264526367,19.420534133911133,23.548093795776367,24.72355842590332,,45.168861389160156,9.221524238586426,39.94977569580078,38.02971267700195,41.96428298950195,39.760318756103516,45.21134948730469,13.775965690612793,6.789271354675293,56.21210861206055,57.716758728027344,1136.52001953125,1888.4300537109375,10572.01953125,85.50492858886719,40.393585205078125,75.01126098632812
2010-01-06,6.327210426330566,22.99553680419922,0.4327700138092041,6.612500190734863,,15.11745548248291,15.046745300292969,,37.619998931884766,9.569999694824219,18.398958206176758,0.761713981628418,1.3515729904174805,42.58060836791992,12.828729629516602,39.6984748840332,27.26169776916504,19.77396011352539,17.218374252319336,38.4090690612793,29.26511573791504,131.5322265625,15.796830177307129,19.159761428833008,23.514039993286133,24.967025756835938,,45.59535598754883,9.19187068939209,40.27470779418945,38.358402252197266,41.96953582763672,39.881107330322266,46.58279800415039,13.379854202270508,6.722574710845947,56.93011474609375,58.27674102783203,1137.1400146484375,1878.4200439453125,10573.6796875,85.56513977050781,40.14993667602539,75.06108856201172
2010-01-07,6.315514087677002,22.756385803222656,0.4242887794971466,6.5,,14.765527725219727,14.696464538574219,,36.88999938964844,9.470000267028809,18.31731605529785,0.74857097864151,1.343103051185608,42.37480163574219,12.835917472839355,39.98920440673828,27.270261764526367,20.007564544677734,17.175588607788086,38.164920806884766,29.844816207885742,134.1061553955078,15.739716529846191,19.338064193725586,23.360387802124023,25.925168991088867,,45.59535598754883,9.157279014587402,39.98727035522461,38.23789596557617,41.811424255371094,40.04216003417969,48.46855926513672,13.300210952758789,6.647098064422607,56.225528717041016,58.939918518066406,1141.68994140625,1876.719970703125,10606.8603515625,85.92636108398438,40.176021575927734,75.33123016357422
2010-01-08,6.357501029968262,22.913328170776367,0.42520567774772644,6.676000118255615,,14.962368965148926,14.892386436462402,,36.689998626708984,9.430000305175781,18.344532012939453,0.7614290118217468,1.352983832359314,42.069637298583984,12.771255493164062,39.95043182373047,27.313095092773438,19.911373138427734,16.85769271850586,38.03972244262695,29.771509170532227,131.56996154785156,15.633638381958008,19.39155387878418,23.368667602539062,25.68170928955078,,46.36300277709961,9.231410026550293,40.124725341796875,38.08449935913086,41.88523483276367,40.49177169799805,48.001014709472656,13.30859088897705,6.598400592803955,57.547447204589844,59.73570251464844,1144.97998046875,1892.5899658203125,10618.1904296875,86.2123031616211,40.506690979003906,75.45210266113281
2010-01-11,6.301418781280518,22.621864318847656,0.41924580931663513,6.515500068664551,,14.939751625061035,14.869874954223633,,36.209999084472656,9.140000343322754,18.220834732055664,0.7604290246963501,1.3614535331726074,42.119319915771484,12.981999397277832,40.26052474975586,26.86758804321289,19.347972869873047,17.20003318786621,37.99591064453125,29.67156982421875,129.49417114257812,15.59284496307373,19.335844039916992,22.984067916870117,25.854501724243164,,46.912696838378906,9.305536270141602,40.131004333496094,38.511810302734375,42.62836456298828,43.03510665893555,47.43217849731445,13.36308765411377,6.566745758056641,57.84271240234375,60.19989776611328,1146.97998046875,1886.239990234375,10663.990234375,86.33270263671875,40.34135055541992,75.75792694091797
2010-01-12,6.229739665985107,22.472396850585938,0.4050340950489044,6.367499828338623,,14.675558090209961,14.606915473937988,,35.65999984741211,8.649999618530273,16.894784927368164,0.7481430172920227,1.3409854173660278,41.89221954345703,13.106522560119629,40.48017883300781,26.40494155883789,19.22429656982422,17.386497497558594,38.527984619140625,28.978599548339844,126.67118072509766,15.57652473449707,19.24445343017578,22.971187591552734,25.17121696472168,,46.135555267333984,9.275887489318848,40.34346008300781,38.32005310058594,42.380645751953125,41.766761779785156,47.089298248291016,13.375661849975586,6.564312934875488,60.05710983276367,58.468318939208984,1136.219970703125,1861.7900390625,10627.259765625,85.52752685546875,39.8366584777832,75.47347259521484
2010-01-13,6.317614555358887,22.681650161743164,0.41053545475006104,6.45550012588501,,14.591304779052734,14.523056030273438,,36.279998779296875,9.149999618530273,16.946735382080078,0.7708569765090942,1.3000503778457642,42.15479278564453,13.173580169677734,40.434974670410156,26.807613372802734,19.32735252380371,17.432344436645508,38.84095001220703,29.484989166259766,127.61482238769531,15.58467960357666,19.42276382446289,23.56832504272461,25.55605125427246,,46.15450668334961,9.493327140808105,40.599674224853516,38.16666793823242,42.05913543701172,41.82719802856445,47.65814208984375,13.358891487121582,6.4863996505737305,59.8491096496582,58.91044235229492,1145.6800537109375,1886.1300048828125,10680.76953125,86.24991607666016,40.33266830444336,75.90726470947266
2010-01-14,6.2810235023498535,23.137521743774414,0.40411728620529175,6.367499828338623,,14.659899711608887,14.59133243560791,,35.900001525878906,9.0,17.1174373626709,0.7284290194511414,1.3007562160491943,41.672237396240234,12.981999397277832,40.47372817993164,26.576292037963867,19.44416618347168,17.462909698486328,39.3104248046875,29.778182983398438,127.20710754394531,15.649961471557617,19.48963737487793,23.966733932495117,26.16863441467285,,45.88914108276367,9.577340126037598,40.6808967590332,38.172149658203125,41.927391052246094,41.59231948852539,47.969844818115234,13.086434364318848,6.376831531524658,61.01667785644531,58.991485595703125,1148.4599609375,1886.52001953125,10710.5498046875,86.48316192626953,40.367462158203125,76.10636901855469
2010-01-15,6.176055431365967,23.062795639038086,0.3921976685523987,6.35699987411499,,14.415092468261719,14.347667694091797,,35.869998931884766,8.84000015258789,16.97889518737793,0.7278569936752319,1.2873464822769165,41.721900939941406,12.85507583618164,40.23469161987305,26.216461181640625,19.629676818847656,17.206148147583008,38.9911994934082,29.105205535888672,124.70123291015625,15.503092765808105,19.199865341186523,24.16638946533203,26.5063533782959,,45.25416946411133,9.631699562072754,40.34346008300781,37.85988235473633,41.75872039794922,40.61940383911133,47.39321517944336,12.818166732788086,6.2794365882873535,61.15758514404297,58.512542724609375,1136.030029296875,1864.52001953125,10609.650390625,85.51244354248047,39.89756774902344,75.38105773925781
