Symbol,Model,MAE,RMSE
UNH,Naive lag1,2.3180529680106323e-05,3.854096242363365e-05
UNH,MA 5 day,2.7762140936458175e-05,4.494537959597623e-05
UNH,MA 20 day,6.953063251932261e-05,0.00010033647756281447
ABBV,LSTM,0.0002421297802827565,0.00033326069733941385
ABBV,Naive lag1,9.92826554615545e-05,0.00015212328536440064
ABBV,MA 5 day,0.00011582119510094635,0.0001735962374163776
ABBV,MA 20 day,0.00028514672265787816,0.0003823134580659084
TMO,LSTM,2.8419868390252857e-05,3.710521654617369e-05
TMO,Naive lag1,1.6000742112643472e-05,2.184753642009941e-05
TMO,MA 5 day,1.7532691715275882e-05,2.3840283038291123e-05
TMO,MA 20 day,4.061669647682632e-05,5.1705090717516575e-05
PFE,LSTM,0.00026282297658420533,0.0003439051141055288
PFE,Naive lag1,0.00017209624896941315,0.00023582345151996594
PFE,MA 5 day,0.0001940232654309252,0.0002577826434479576
PFE,MA 20 day,0.0004340504451942628,0.000572892666857827
JNJ,LSTM,0.00011669289502007201,0.0001508590606574093
JNJ,Naive lag1,6.808390599237825e-05,9.64506260989765e-05
JNJ,MA 5 day,7.90536609021051e-05,0.00010293326398946383
JNJ,MA 20 day,0.00019868504342979292,0.0002478650654041772
XOM,LSTM,0.00033965250941527273,0.000443832564299736
XOM,Naive lag1,0.0002472238545571328,0.00032423394631317533
XOM,MA 5 day,0.00027981335189232394,0.0003595435504918712
XOM,MA 20 day,0.000575576840937013,0.0007320654934632732
CVX,LSTM,0.00014221807541219962,0.0001900535377366994
CVX,Naive lag1,0.00010563516144235639,0.00014529871903965624
CVX,MA 5 day,0.00011960844808122402,0.00016086252043621247
CVX,MA 20 day,0.00026179271818662356,0.0003516392286817498
CAT,LSTM,0.00033854511881023237,0.0005516379082007256
CAT,Naive lag1,0.00011325375802278818,0.00016766346424719646
CAT,MA 5 day,0.0001308589557244276,0.00018533031633896207
CAT,MA 20 day,0.00033585287878970933,0.0004332364019576639
BA,LSTM,2.5978590073167175e-05,3.443634840563925e-05
BA,Naive lag1,1.9175547005583033e-05,2.6917155730801657e-05
BA,MA 5 day,2.2579568005461603e-05,2.9843011067858952e-05
BA,MA 20 day,5.505810760905547e-05,7.097415451551235e-05
VZ,LSTM,0.00045113273456930624,0.0005849881779535713
VZ,Naive lag1,0.0002971098922450444,0.00042257236875526083
VZ,MA 5 day,0.00034097582458658877,0.0004470493967473848
VZ,MA 20 day,0.000713229195073086,0.0009023630341024032
T,LSTM,0.001646374682731499,0.0022172009971480238
T,Naive lag1,0.0010706954886347945,0.0015417833132580154
T,MA 5 day,0.001174233994262614,0.0015983129685035835
T,MA 20 day,0.002686461286580613,0.003528932669119533
TM,LSTM,0.0001492400913340461,0.00020306613642455374
TM,Naive lag1,9.59566702606522e-05,0.00013405308328982656
TM,MA 5 day,0.00010832790826136004,0.00014929998478146453
TM,MA 20 day,0.0002324416395750096,0.00031537330347487937
MC.PA,LSTM,3.7330001712246844e-05,4.822323316715565e-05
MC.PA,Naive lag1,1.9938754947958655e-05,2.8218845824149083e-05
MC.PA,MA 5 day,2.229466410679139e-05,3.019456934830453e-05
MC.PA,MA 20 day,5.4095432673419767e-05,6.813446096802929e-05
^GSPC,LSTM,5.79201978675639e-06,7.337873222088086e-06
^GSPC,Naive lag1,2.502513440210873e-06,3.5978864118387077e-06
^GSPC,MA 5 day,2.8268366009181943e-06,3.838470966169666e-06
^GSPC,MA 20 day,6.395037500402217e-06,7.895572171156224e-06
^NDX,LSTM,1.567070377563312e-06,2.01789988703595e-06
^NDX,Naive lag1,7.564881144781179e-07,1.062395984663446e-06
^NDX,MA 5 day,8.553462443460302e-07,1.122558554565786e-06
^NDX,MA 20 day,1.8979797553083825e-06,2.3683387210670465e-06
^DJI,LSTM,5.070053761131904e-07,6.983406212472115e-07
^DJI,Naive lag1,3.2960564698988535e-07,4.6570746967851874e-07
^DJI,MA 5 day,3.767835092695499e-07,5.140994562064515e-07
^DJI,MA 20 day,8.429350933532107e-07,1.0614127450446273e-06
SPY,LSTM,4.771605708064519e-05,6.259861990008248e-05
SPY,Naive lag1,2.483048602391039e-05,3.626366733309578e-05
SPY,MA 5 day,2.802495263143717e-05,3.8238575480688164e-05
SPY,MA 20 day,6.402069259711544e-05,7.887086863034976e-05
QQQ,LSTM,5.412699355835201e-05,6.988006762971327e-05
QQQ,Naive lag1,3.1280778526312236e-05,4.4119063742668366e-05
QQQ,MA 5 day,3.5678811712970154e-05,4.6948385864416786e-05
QQQ,MA 20 day,7.961749773860365e-05,9.935424003255705e-05
DIA,LSTM,6.118119586737437e-05,8.037718961817845e-05
DIA,Naive lag1,3.1662317612192815e-05,4.477984741625167e-05
DIA,MA 5 day,3.623527483836348e-05,4.948072404554142e-05
DIA,MA 20 day,8.16248465127464e-05,0.00010257537327298151
