Symbol,LSTM,MA 20 day,MA 5 day,Naive lag1
AAPL,0.0001930800437873,0.0002580681511711,0.0001273933721366,0.0001105764691296
ABBV,0.0003332606973394,0.0003823134580659,0.0001735962374163,0.0001521232853644
ADBE,3.465126366780387e-05,5.395728150974028e-05,2.4123850844136895e-05,2.2004146134442974e-05
AMD,0.0002480189934735,0.0004555588045357,0.0001981024413607,0.0001797581809945
AMZN,0.0001721181406438,0.0002324861527504,0.0001125149456694,0.0001066854685844
AVGO,0.0140786967286344,0.003225763565633,0.0015935473095243,0.0014722871288217
BA,3.443634840563925e-05,7.097415451551235e-05,2.9843011067858952e-05,2.6917155730801657e-05
CAT,0.0005516379082007,0.0004332364019576,0.0001853303163389,0.0001676634642471
COST,0.0001362940142184,8.636583044365525e-05,3.722824097983185e-05,3.394904810160636e-05
CRM,8.873482545643277e-05,0.000142287030215,6.593271666498238e-05,6.124676929077135e-05
CVX,0.0001900535377366,0.0003516392286817,0.0001608625204362,0.0001452987190396
DIA,8.037718961817845e-05,0.0001025753732729,4.948072404554142e-05,4.477984741625167e-05
DIS,9.11673208019704e-05,0.0001556406409973,6.551735659492255e-05,6.0248634521066206e-05
GOOG,0.0004599171040551,0.0004126806650539,0.0001798264431945,0.0001619075304675
GOOGL,0.0004576878484829,0.0004191211169531,0.0001825417757771,0.0001646528378653
GS,0.0001920978171894,0.0002172906238264,9.566974435300168e-05,8.560456446473044e-05
HD,5.4836067549637306e-05,9.066193737750655e-05,4.000456075037231e-05,3.669265651582987e-05
JNJ,0.0001508590606574,0.0002478650654041,0.0001029332639894,9.64506260989765e-05
JPM,0.0007077102510439,0.0003993047555324,0.0001790762231229,0.0001623657780084
KO,0.0004778906276456,0.0007446327342281,0.0003280240390263,0.0003073261697219
MA,0.0001081923725641,9.035221945155688e-05,4.413835474034365e-05,4.169790403991453e-05
MC.PA,4.822323316715565e-05,6.813446096802929e-05,3.019456934830453e-05,2.8218845824149083e-05
MCD,0.0001227798145016,0.0001587910789753,7.500350807387086e-05,6.963809220463715e-05
META,0.0001542633401238,0.0002164499962632,9.391157696039464e-05,8.822386343833708e-05
MSFT,9.65252372045753e-05,0.0001315312691002,5.9720830475008184e-05,5.614987657597004e-05
NFLX,0.00060122926005,0.0007977558055207,0.0003525259155818,0.0003236566167977
NVDA,0.0242819248371413,0.0062616948906184,0.0029891445717774,0.0028391588189228
PEP,0.0001675001157441,0.0002539473815127,0.0001160250922079,0.0001115099288118
PFE,0.0003439051141055,0.0005728926668578,0.0002577826434479,0.0002358234515199
QQQ,6.988006762971327e-05,9.935424003255703e-05,4.6948385864416786e-05,4.4119063742668366e-05
SCHW,0.000278881182409,0.0005386250456961,0.0002341737680701,0.0002039196681982
SPY,6.259861990008248e-05,7.887086863034976e-05,3.823857548068816e-05,3.626366733309578e-05
T,0.002217200997148,0.0035289326691195,0.0015983129685035,0.001541783313258
TM,0.0002030661364245,0.0003153733034748,0.0001492999847814,0.0001340530832898
TMO,3.710521654617369e-05,5.1705090717516575e-05,2.3840283038291123e-05,2.184753642009941e-05
TSLA,8.279369363898462e-05,0.0001540699316646,6.546655985726371e-05,6.041969880578497e-05
UNH,6.93567907988951e-05,0.0001003364775628,4.494537959597623e-05,3.854096242363365e-05
V,0.000178853955523,0.0001416729421471,7.008433751423785e-05,6.606513660501166e-05
VZ,0.0005849881779535,0.0009023630341024,0.0004470493967473,0.0004225723687552
WMT,0.0046974230002032,0.0016323861438819,0.0007183905839785,0.0006455122756352
XOM,0.0004438325642997,0.0007320654934632,0.0003595435504918,0.0003242339463131
^DJI,6.983406212472115e-07,1.0614127450446273e-06,5.140994562064515e-07,4.6570746967851874e-07
^GSPC,7.337873222088086e-06,7.895572171156224e-06,3.838470966169666e-06,3.5978864118387077e-06
^NDX,2.01789988703595e-06,2.3683387210670465e-06,1.122558554565786e-06,1.062395984663446e-06
